ID,text
0, can never world cup uphold basic human right put athletes whose job place work invidious position fear identity  
1, french national team announce roster         
2,us mens national team  set roster world cup good luck gents        
3,sick joke now maddison tomori get man now    
4,update quote inter miami defender deandre yedlin name us world cup squad coach gregg berhalter say           
5,wonder jam maddison get pick  
6,        exactly bet puli card make group stage
7,     minister equalities suck country equalities  
8,wait final match hope think trophy will come pakistan  
9, casillas save arjen robbens strike final will never forget
11, crazy you’re tell 32 countries focus football  rather get involve political issue qatars anti-gay laws lol want  stop anti-gay chant “putoooo” 
12,joy film guy    haven’t pay attention team time now   can’t wait see boys   weeks 
14, ax  eth sol later  chz/cro/algo consider worldcup
16,  yellow shoe lace there—even
18,get watch ronaldo thanksgiving year 
19,tune touchline talk show reaction  roster   live now youtube 
20,can’t wait go   
21,   jointly launch artists feast hackarthon liveart championship give away 5000 championship pass lot perk join help win championship pass free   
23,       kiss mom mouth
24,kalvin phillips  selection “only time speak [southgate] couple days operation tell situation &amp ask think never really say decision i’m glad that”
25,pefok pepi…   idk feel       
26,tell - antony - case - fred mewakili brazil    
28,    *his form *it
29,   go start barca milan fan call ass fell bad
30,     corn  big lump knobs  make squad (it make squad)
31,nottingham forest beat spur red card 
34, ive head-in-the-sand hoop focus want flag great work  thats just time read  knowledge savoir-faire   
35, wait one direct free kick goal win final magnificent  
37, record show   lower league pros care fa cup    caddis   broadbent   austin debate live   plus   joniesta    arm forces/osc   parsons &amp mino ↔  dworzak &amp fox   massey   mildy sit     
38,    well deserve
39, world cup path glory prediction    lukaku (4 sm 4 wf)  can  bring country glory          
40,excite world cup  gonna long 12 days first usa game      
41,$wci 7m mcap  vs  $qatar 162k mcap    undervalue need $dinero  
42,   lfg cant wait see squad
43,     wow harvey gamble smile wherever
44,headline strong  team  captain             
48, new video  england squad | pod highlight  click link              
50, xi vs wales       turner dest  zimmerman  ream  robinson         adams    reyna    aaronson weah    sargent     pulisic  
51,whos go watch    
52, 12 days start    will host watch party downtown riverside raincross pub+kitchen cant wait see local  members  supporters detail come 
53,            ok enough  im watch fifa uncover know know im one need  
54,  get call   squad away shirt will definitely get purchase either one back  
55, yo pierre wanna come  warra worldcup gabon saido berahino
56, roster set  can watch star strip match fox 8 
57,official announcement moroccan national team squad take part  will stream live  digital platforms thursday  1200       
58,think  go score  
59,50% people photo make  world cup roster   congrats  &amp   
60,     jude bellingham english jordan jam choose play wales lot you’re gutted  
61,     thank
62,     repping southampton gaffer
64, without defense lack hope post  buckle
65,game    let try   season — odds heres *son*sational moments           
66,chuff josh sargent good luck     
67,pulisic bout carry  chip    
69, announce  roster go miss players get snub  
70,regard exclusion keeper zack steffen   roster  “its comfort level guy roster   
71,rishab pant play today day gut feel say   
72,really really hope wales well wc  
73, just $1000 month  doctor receive little 10% foreign medical professionals can earn public hospitals      
74,want reminder 92 worldcup venue team different ball game &amp different players whoever win fantastic game 
75,“have watch fulham game lately decision made”  “he now top performer team (in premier league)”   - gregg berhalter tim weah  
76,    congratulations brother
77,average one youngest usa team rosters world cup history 33-year-old sean johnson first  ask channel rookie mindset veteran mentality ahead  open match wales 
78,watch  doc corruption  qatar bribe way get world cup well duh damn america really want  didn’t
79,     think might release )  
80,       viceroy visits…
81,nobody love america  &amp nobody love soccer    true national treasure correct 999% time include       
82,    will play world cup la liga 
83,excellent piece  hall-of-famer bruce murray    post-pandemic really mean 
84,   2 ⃣6 ⃣ convocati per        
85,great ambassador  value exist price tag 
87,“we get ahead little bite injure hear positive thoughts”   “we talk arsenal every single day back full training”  gregg berhalter matt turner no1 gk   
89,bajcetic ball today 
90,switzerland reveal 25-man squad      theres name capable shake          
91,usmnt name 26-player roster world cup     
92,jam maddison doesnt get select world cup squad southgate can just sack 
93,quite obvious  rough ride chelsea fan worldwide cant wait  game start us relieve continue terrible/ depressingly poor display team horrible show  
94, india  2022 worldcup winner ra puka
95,come think  think stupid peop know they’re stupid             
98,pick portugal win  play fox super 6 $1 million dollar world cup bracket challenge  chance win cash prize 
99,   reply know want convince
100,   root sergino
101,  theres still time get ticket years world cup  dont miss opportunity watch game live      get quote today website - link bio       
102, germany - world cup 2022 preview  far will hansi flick side go get upto speed germany short preview chance       
103,“me zack go way back emotional tell wasn’t go  team really difficult”   gregg berhalter tell zack steffen shock news  
104,best wish   final inshallah will bring home boys
105,players reservations fan  others want see get call end day weve wait 8 years im just gonna happy see players  just win baby
106,  52 wide state  effectly better potential sport good enough
107,   wish u know france africa country win last worldcup  
108,well     guy terrible  roster  now thats leave see  mismanage cheer
109,“excited name roster tonight think well balance roster group love together”   “we computer screen sunday texted call them”   - gregg berhalter   
110,usmnt world cup gregg berhalter name 26-man roster qatar    
111,surprise hear tune fifa like “where tune come from” haha sick take back years okkkkk fifa   
112,sadio mane fake injury know fan allow laser pointers world cup stadiums    
113,   confess
115,    guy take precaution injuries typical goalkeeper europe can injure respect position goalkeepers return goalkeeping position time
116,   useless  
117,   bruh go home
118,       dead  
120,tim sparv | need talk        
121,southgate last tournament method squad selection last 12-18 months farcical underwhelming outcome  already bake  ball kick
122,break news inter miami defender deandre yedlin name us world cup squad say          
123,14 years professional career premier league world renowned goalkeeper  one recognisable omani players  can’t wait welcome biggest event football lovers sultanate oman   
125,let goo  just little bite leave world cup 2022 2311 croatia vs morroco      
126,official france announce 26-man  squad   
127,fifa announce club players play  can claim $10000 per player per day whilst wc  club play last two years  will skint  claim aaron ramsay    course will  fuck tramp
128, world cup path glory prediction    giroud (4 sm 4 wf)  goat           
130,   sergiñothats lovely just bad coach federation doesnt clue
132,yall think pepi next superstar   
133, name pepi consider crime humanity     
135,discuss 2022 qatar       
136,unite state manager gregg berhalter announce 26-player roster 2022  qatar wednesday read full story -      
137,us men wait long time shoot another  now finally get know 26 players go qatar read full story -      
138,   congratulations dest  win lose go fightingfight everything get make us proud
139,   youre best team  dont let us
140,       rob page meet indiana jones villain
141,   true think balon dor make better consolation prize mahn
142,  pretty cool
144, tottenham manager antonio conte say harry kane run empty just week lead england battle world cup        
145,   let go saucyino dest
146,   ur tum log worldcup se pehly e ticket katwa letty ho kahin bad mein na chud jao 
148, | world cup star come wc swap reward |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
149,     congratulations  us country proud   im still wait hear gareth let know im bad full back hear england little bite light position
151,  couldve happen summer aswell
152, 26th man   
153,proud  work  work one months happy see come fruition negative thing perspective hockey 
154,    horrible
155,    go show em  
157,     shirt fire  
158,we’ve get perfect gift  fan life — vintage  poster tee copa football art global game make wearable 
159,dis hard   
160,goretzka hit qatars anti-gay comment   former qatar international khalid salman tell german broadcaster zdf tuesday homosexuality damage mind say gay fan accept rules” …  gross   
161,now elections wind time focus important things…   let make noise 
162,first performance malcolm revive  cantata (just time  perform    orchestra plus young singers   &amp surrey school 
163,    alright mate won’t shag
164,    get literature think know something croatia see will forget worry life book every medal 2 side
165,    oga sef know dey run africa
166,senegalese optimistic sadio man return world cup begin      
167,head  second-youngest roster nations history     |   
168,gregg berhalter show talent scout skills half blind toad get group will spite  
170,  sm caen - annecy
172,  maaaaaaate   congrats king tp x
173,   beautiful blue eye borna best luck mr handsome
174,roldan tilman morris pepi aaron long palmer-brown      
176,quick team preview  will bring table    video  episode        
177,love see              
178, escape palace  lucky man drone strike   
179,  schedule due worldcup best get clap early cause boy team will make end
181,       dallas fan common knowledge- you’re just show ass 
183,number make argentina favorites world cup  chance high messis last dance world cup will memorable       
184,    get record  podcast night   roster drop  
185,+1125u day today poor start november 7/10         soon get involve vip  
186, country treat minorities like qatar never host world cup  
187,  isnt hard miss 2018 tournament
188,usa announce 2 ⃣6 ⃣-a man squad fifa world cup 2022 qatar    far will concacaf nations league winners  progress years tournament      
190,ar national flag body paint(poland) [augmented reality video maker]      
191,       lol k buddy can read number least 
192,           dey o  
193,excite obvious guy pulisic acosta mckennie also excite reyna yedlin &amp starter k matt turner     
194,reddit world cup avatars live    beyond stoke pickup            
196,4th pack sale live    grab tier 4  shirt  sale end friday 4pm
197,   wish vines ya
198,defend champion name 25-man squad     ngolo kante paul pogba time due injury french look well-equipped always         |  
199, delight result performance positive night us  liam fox praise dundee unite 4-0 win kilmarnock dylan levitts performances seal  call-up wales   
200,  ddungu can name win worldcup sure  
201,    decision play gold cup concacaf understandable play tournaments risk position start goalkeeper europe play cup costa rica will never win
202,   keep hard work level
203,    ratio
204,          ccv go shine 
205,reposting preview listen feel help lot get better grasp team tournament    well worth time especially youre clueless footy like   part 1  
206,stun steffen pepi world go rough  
207,   congratulations ethan  
208,resident  expert  return latest article things spanish football  time turn  look go break  high carlos carvalhal   
209,set  2022 amaze  
210,    go help two local boys christian brendan win cup
211,lgbt activists protest fifa museum ahead  qatar    
212,   borna borna borna borna borna barisic come go come gooooes love easy colour dream red white blue red white blluuuueee  
213,great entries 3 kick ass project    $wci $dgtv   many wait   just around corner 3 will fly 
214,anyone want whisk away qatar later month i’ll clear schedule 
215,definitely couple eye pop snub  world cup roster good amount talented young core will qatar   
216,watch japan 1st team arrive qatar 2022 fifa worldcup live update &amp  
217, way regretfully wont watch refuse continue provide advertise revenue   embrace autocratic regimes enough already
219,  ‘22 world cup champ
220,deschamps karim benzema “he will us despite injury suffer — injury play lot short period affect him”     “i believe will everything can ready france-australia match”  
222,  noble order huscarls will undertake security law keep function let know malcontents will deal summary flay
223, great dumb people love
224, around corner man can excite
226,head  second-youngest roster nations history     | 
228,timothy weah upon select usa final squad    “unbelievable feel honor select represent beautiful country biggest competition football history  world cup bind praise high” 
229,fresh face    25 players name first  roster    
230,want sell butt cheek buy $xdb price worldcup far away
231,get sadi arabia office sweepstake  might happen   
232, two-faced     
233,take future bet  win  also take  win golden boot golden ball (not parlay) think
235,watch qatar another fine mess etc 
236,  congratulations kalvin great see play hope make     
237,will men help  reach next round    &gt&gt  &lt&lt
238,congrats former stag goalkeeper matt turner head     ‼  cant wait cheer     |  |  
239, one worthy start newcastle arent gonna win anyway will prefer go academy players whore hungry like lewis tonight rest go rest theyre afraid injury cox worldcup none actually put 100%
240,let get pump          
241, load ⏳⌛ 
242,   fa use guy test water wafu se tontom
243,france midfield will cost worldcup 
244,smile like absolute dork   
245,just anyone else hop none team players get pick  get knock early id rather stay home train restart domestic season 
246,one day will spotify camp nou join culers sing   meeessi just love man   leonel andreas messi   un día estaré en el spotify camp nou para unirme los culers cantando   meeeeesi encanta este hombre   leonel andreas messi    
247,icymi resident sport lawyer  join us        
248,   wonder   deal shady give  shady deal qatar give worldcup
249,“usmnt world cup 2022 roster reveal biggest surprises”    squad  via 
250,squad     
251,   congrats  
252,   go back watch return match see referee mistake
253,tweet soccer… immediately lose followers    next 40 days go real test 704 yous   
254,tip  26 guess     &amp co want show us better anticipate        
256,unite state name squad world cup     
258,   lovely guy good luck borna
259,    squad release    ed koosh    place     pedro richarlison &amp jesus choose ahead  bobby    expect no1 ahead ederson     
260,biggest shock inclusion haji wright don’t hate berhalter speak i’m surprise even consider  
261,   go bro
262,design commission vtuber amemoto kazumi feature world cup 2022 design variant glad know party satisfy end result 3         
263,surreal  we’re 2 weeks away world cup finals us proud  unbelievable   |  
264,    man doesn’t speed remember african age really false older can’t give stage cash spend transfer haven’t bargain sad
265,   good luck
266,respect experts &amp fan chance  please everyone - i’m overwhelm  world stage play 1st  since     everyone pick heart go miss xx 
271,   congratulations borna  gutted antonio
272,aviator classic make feel like youre inside lusail stadium experience action           
273,eight years later  teammates   
274,   finish player taylor clear
275,just focus football  say  dont speak  say  human right politics  want believe shouldnt hold qatar accountable also want believe  f      
276,thrill need rely tim ream earn spot gotta respect  
278,turnaround   great celebration    
279,  borna barisic call-up  squad   read full match reaction barisic tonights victory hearts  
281,great insight expect wait  roster  announce   join us now    
282,reason celebrate   follow us tiktok show us favorite celebration dance      
283,make coin fast fifa 23    via         
284,official usmnt   squad  2022   
285,find  include   roster 
286,  f u  c  k
288,gregg berhalters  roster    key talk point    zack steffen   tim ream return   haji wright make cut 
289,     fantastic lads well do  
290,  excellent news
291,jam ward-prowse hop make england squad tomorrow        
292, press conference gregg berhalter begin alongside guy  well   see kyle     
293,exactly two weeks today canada will play first mens  match 36 years  heres know 
294,hello    please help us understand  include  roster anyone can need reason please thank   - confuse  supporter
295,ricardo pepi set record goals score finish puberty sure let dust j-mo see can outrun kyle walker  
296,wether good bad 001   perform  openingobo d world ify  wait see u laston god     
297,imagine “golden generation”     
298,      gonna win world cup roldan go assist morris win goal youre go swear know along
300, get wrong call ricardo pepi  final roster   ricardo pepi five goals two assist eight league game season groningen    
301,god already forget terrible  kit  thank nike assure embarrassment even happen make group 
302,we’re line    
303,ever felt inadequate job just think gregg lead   will alone 
304,   days away start  ⌛   favourite player wear  shirt   
